Instructor,Course,Term,Enroll,Evals Made,Rcmd Class,Rcmnd Instr,Study Hours/week,avg Grade Expected,Average grade received
"Delson, Nathan Joseph","
MAE 156B - Fund. Prin/Mechanical Desgn II (B)
",SP18,32,15,"
100.0 %
","
92.3 %
",14.64,"
B+ (3.50)
","
A- (3.74)
"
"Gillett, David S","
MAE 156B - Fund. Prin/Mechanical Desgn II (C)
",SP18,30,19,"
89.5 %
","
100.0 %
",15.34,"
B+ (3.58)
","
B+ (3.51)
"
"Evdokimenko, Ekaterina","
MAE 160 - Mechanical Behavior/Materials (A)
",SP18,16,10,"
80.0 %
","
90.0 %
",5.39,"
B+ (3.67)
","
N/A
"
"Beg, Farhat N.","
MAE 170 - Experimental Techniques (A)
",SP18,161,124,"
59.8 %
","
79.2 %
",10.52,"
B (3.24)
","
B (3.23)
"
"Boechler,nicholas Sebastia","
MAE 170 - Experimental Techniques (B)
",SP18,133,108,"
70.1 %
","
95.2 %
",9.98,"
B+ (3.34)
","
B (3.21)
"
"Bahadori, Mohammad Yousef","
MAE 180A - Spacecraft Guidance I (A)
",SP18,93,36,"
100.0 %
","
97.0 %
",6.08,"
B (3.19)
","
B- (2.98)
"
"Cai, Shengqiang","
MAE 21 - Aerospace Materials Science (A)
",SP18,139,32,"
84.4 %
","
64.5 %
",4,"
A- (3.72)
","
B+ (3.66)
"
"Delson, Nathan Joseph","
MAE 3 - Intro/Engineering Graphcs&Desn (A)
",SP18,89,82,"
86.6 %
","
88.9 %
",11.65,"
B+ (3.48)
","
B+ (3.40)
"
"Garay, Javier","
MAE 3 - Intro/Engineering Graphcs&Desn (A)
",SP18,92,77,"
85.3 %
","
88.0 %
",14.26,"
B+ (3.36)
","
B+ (3.35)
"
"Gibson, Carl H.","
MAE 5 - Quantitative Computer Skills (A)
",SP18,68,25,"
72.7 %
","
72.7 %
",4.31,"
A- (3.81)
","
A (4.00)
"
"Lubarda, Marko","
MAE 8 - MATLAB Program for Engr Analys (A)
",SP18,180,71,"
87.0 %
","
97.1 %
",5.21,"
B+ (3.65)
","
B+ (3.37)
"
"Kleissl, Jan","
MAE 87 - Freshman Seminar (A)
",SP18,20,5,"
80.0 %
","
100.0 %
",0.9,"
N/A
","
N/A
"
"Anderson, Mark Ronald","
MAE 92A - Design Competitn/Fly Aircraft (A)
",SP18,9,4,"
100.0 %
","
100.0 %
",1.83,"
A (4.00)
","
N/A
"
"Coimbra, Carlos F.","
MAE 93 - Design Compet/Design Race Car (A)
",SP18,22,15,"
100.0 %
","
100.0 %
",7.3,"
A (4.00)
","
N/A
"
"Nomura, Keiko K.","
MAE 101A - Introductory Fluid Mechanics (A)
",WI18,221,103,"
95.1 %
","
84.3 %
",7.47,"
B (3.09)
","
B (3.16)
"
"Miller, David R.","
MAE 101B - Advanced Fluid Mechanics (A)
",WI18,59,29,"
92.0 %
","
80.0 %
",10.5,"
B+ (3.38)
","
B (3.04)
"
"Rangamani, Padmini","
MAE 11 - Thermodynamics (A)
",WI18,119,100,"
93.0 %
","
94.9 %
",8.08,"
B (3.18)
","
B- (2.90)
"
"Sanchez, Antonio Luis","
MAE 113 - Fundamentals of Propulsion (A)
",WI18,90,31,"
96.6 %
","
89.3 %
",8.57,"
B+ (3.34)
","
B (3.06)
"
"Krasheninnikov, Sergei","
MAE 118 - Intro to Energy & Environment (A)
",WI18,87,29,"
67.9 %
","
53.6 %
",3.57,"
B (3.12)
","
B- (2.74)
"
"Tynan, George Robert","
MAE 119 - Intro Renew Energ/Solar & Wind (A)
",WI18,112,51,"
86.0 %
","
82.0 %
",5.46,"
B (3.29)
","
B (3.22)
"
"Kleissl, Jan","
MAE 123 - Intro/Transprt in Porous Media (A)
",WI18,49,14,"
100.0 %
","
100.0 %
",5.73,"
B (3.15)
","
B (3.16)
"
